terms,definitions,source,assigned_readability,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,automated_readability_index,dale_chall_readability_score,linsear_write_formula,gunning_fog
Low/No Documentation Loan,"A low/no documentation loan allows a potential borrower to apply for a mortgage while providing little or no information regarding their employment, income, or assets. Regulation of these loans has evolved significantly since 2008, but they remain an option for some borrowers in nontraditional financial situations.",investopedia,1,22.75,15.8,0.0,16.42,17.8,11.99,18.0,20.5
Combined Loan-To-Value Ratio (CLTV Ratio),The combined loan-to-value (CLTV) ratio is the ratio of all secured loans on a property to the value of a property. Lenders use the CLTV ratio to determine a prospective home buyer's risk of default when more than one loan is used.,investopedia,1,45.77,17.3,0.0,9.01,21.0,10.23,12.5,18.7
Nonforfeiture Clause,"A nonforfeiture (sometimes hyphenated) clause is an insurance policy clause stipulating that an insured party can receive full or partial benefits or a partial refund of premiums after a lapse due to non-payment. Standard life insurance and long-term care insurance may have nonforfeiture clauses. The clause may involve returning some portion of the total premiums paid, the cash surrender value of the policy, or a reduced benefit based upon premiums paid before the policy lapsed.",investopedia,1,29.18,15.4,17.1,14.1,16.9,9.93,18.5,15.33
Discretionary spending,Government spending authorized by Congress on an annual basis.,9_12_louis,1,28.5,11.5,0.0,15.11,11.3,12.86,6.5,12.49
DEBT TO ASSETS,"A measure of a company’s FINANCIAL LEVERAGE, or the degree to which DEBT features on the overall BALANCE SHEET. It is com- puted as:where D is the company’s total debt, TA is the company’s total ASSETS.The higher the ratio, the great the company’s financial leverage. See alsoCONTINGENTS TO ASSETS, DEBT TO EQUITY.",palgrave,0,45.46,11.2,13.0,10.67,11.1,9.96,11.6666666666667,10.0
EMTN,See EURO MEDIUM-TERM NOTE.,palgrave,0,75.88,3.7,0.0,7.25,7.7,11.73,1.0,1.6
CROSSED TRADE,"A practice where ORDERS to buy and sell listed SECUR- ITIES are matched without being channeled through an EXCHANGE; once crossed, the details may be reported to the exchange. Crossed trades are not permitted in certain market jurisdictions as they are thought to reduce trans- parency and leave open the possibility for unfair pricing practices.",palgrave,0,52.02,12.8,0.0,13.18,17.3,10.46,15.75,13.91
ANNUAL DEPRECIATION ALLOWANCE,"The decrease in BOOK VALUE assigned to an ASSET as a result of DEPRECIATION, typically as a certain per- centage per year.",palgrave,0,40.69,13.1,0.0,8.53,11.2,10.47,14.0,14.25
BRICKS AND MORTAR,"The physical branches and infrastructure of a BANK or SECURITIES FIRM, distinct from the electronic banking platforms many institutions also operate.",palgrave,0,16.32,16.2,0.0,17.81,18.0,12.95,16.5,19.83
Financial literacy,Having knowledge of financial matters and applying that knowledge to one's life.,6_8_louis,1,50.84,9.2,0.0,14.2,11.7,10.81,7.0,11.47
Stock Appreciation Right (SAR),"Stock appreciation rights (SARs) are a type of employee compensation linked to the company's stock price during a predetermined period. SARs are profitable for employees when the company's stock price rises, which makes them similar to employee stock options (ESOs). However, employees do not have to pay the exercise price with SARs. Instead, they receive the sum of the increase in stock or cash.",investopedia,1,55.24,9.5,13.4,11.6,11.2,9.12,11.25,12.03
Bond Rating Agencies,Bond rating agencies are companies that assess the creditworthiness of both debt securities and their issuers. These agencies publish the ratings used by investment professionals to determine the likelihood that the debt will be repaid.,investopedia,1,45.25,11.3,0.0,15.54,14.5,11.72,12.25,15.0
Business Activities,"Business activities include any activity a business engages in for the primary purpose of making a profit. This is a general term that encompasses all the economic activities carried out by a company during the course of business. Business activities, including operating, investing and financing activities, are ongoing and focused on creating value for shareholders.",investopedia,1,19.06,15.1,16.7,15.2,14.6,9.71,14.8333333333333,16.05
Tiger economies,"The fast-growing developing economies of Asia, at least before their crisis in the late 1990s.",economist,1,64.71,8.0,0.0,11.88,11.2,10.7,8.5,8.67
MINORITY SHAREHOLDER RIGHTS,"A set of rights accorded to the MINORITY SHAREHOLDERS to ensure that they are not treated unfairly by the MAJORITY INTERESTS. Specific rights vary by jurisdiction, but include access to FINANCIAL STATEMENTS, ability to take legal actions, and so forth. Also known as MINORITY PROTECTION.",palgrave,0,39.33,11.5,14.6,12.69,11.5,11.4,11.5,15.78
RED-LINING,"Refusal by a BANK to provide funds, or an INSURER to supply INSURANCE cover, in particular areas or sectors as a result of previous negative experiences and/or losses. Red-lining that is discriminatory or preju- dicial is illegal in many jurisdictions.",palgrave,0,25.8,14.6,0.0,12.59,13.7,12.52,14.5,17.0
EXEMPT GILTS,A form of GILT in which the TAX payable on INTEREST COUPONS is deducted by the government before distribution to INVESTORS.,palgrave,0,58.62,10.3,0.0,10.91,12.1,9.94,14.5,14.11
TAKE-OUT,"The replacement of one form of FINANCING with another one,often associated with the replacement of a temporary BRIDGE LOAN with along-term BOND or LOAN.",palgrave,0,47.12,12.7,0.0,13.47,15.9,8.12,18.0,16.27
Unconsolidated Subsidiaries,"An unconsolidated subsidiary is a company that is owned by a parent company but whose individual financial statements are not included in the consolidated or combined financial statements of the parent company to which it belongs. Instead, an unconsolidated subsidiary appears in the consolidated financial statements of the parent as an investment. This usually applies when the parent company does not have a controlling stake in the subsidiary.",investopedia,1,23.05,15.7,16.3,15.09,16.2,8.48,16.6666666666667,13.79
Guaranteed Lifetime Withdrawal Benefit (GLWB),"A Guaranteed Lifetime Withdrawal Benefit (GLWB) is a rider to a variable annuity contract that allows for withdrawals, either regular or occasional, to be made from an annuity during the accumulation phase without penalty. The annuitant pays for the GLWB rider with additional fees that are added to the total value of the annuity contract. The amount of money that is allowed to be withdrawn is a percentage of the total value of the annuity.",investopedia,1,37.64,14.2,15.0,11.03,14.2,9.93,16.8333333333333,15.33
LSE,See LONDON STOCK EXCHANGE.,palgrave,0,75.88,3.7,0.0,8.7,7.7,7.78,1.0,1.6
Held by Production Clause,"Held by production is a provision in an oil or natural gas property lease that allows the lessee, generally an energy company, to continue drilling activities on the property as long as it is economically producing a minimum amount of oil or gas. The held-by-production provision thereby extends the lessee's right to operate the property beyond the initial lease term. This provision is also a feature of mineral property leases.",investopedia,1,30.91,14.7,17.9,12.25,14.5,10.21,18.3333333333333,16.75
Internal Controls,"Internal controls are the mechanisms, rules, and procedures implemented by a company to ensure the integrity of financial and accounting information, promote accountability, and prevent fraud. Besides complying with laws and regulations and preventing employees from stealing assets or committing fraud, internal controls can help improve operational efficiency by improving the accuracy and timeliness of financial reporting.",investopedia,1,0.25,20.3,0.0,19.96,23.4,13.08,25.75,25.44
Joint supply,"Some products or production processes have more than one use. For instance, cows can both provide milk and be eaten. If farmers increase the number of cows they own in response to an increase in DEMAND for milk, they are also likely to increase, a little later, the supply of meat, causing beef prices to fall.",economist,1,69.41,8.2,7.8,8.3,9.3,8.51,9.0,8.91
