terms,definitions,source,assigned_readability,flesch_reading_ease,flesch_kincaid_grade,smog_index,coleman_liau_index,automated_readability_index,dale_chall_readability_score,difficult_words,linsear_write_formula,gunning_fog,text_standard,fernandez_huerta,szigriszt_pazos,gutierrez_polini,crawford,gulpease_index,osman
NEGATIVE CARRY,"Any transaction or TRADE where the RETURNS gener- ated by an ASSET are smaller than the costs of financing and storing the asset. See also CARRY, CARRY TRADE, POSITIVE CARRY.",palgrave,0,56.25,9.1,0.0,9.21,8.8,9.64,9,8.0,10.0,9th and 10th grade,95.6,94.23,44.68,2.9,60.6666666666667,68.69
Consumer Discretionary,"Consumer discretionary is a term for classifying goods and services that are considered non-essential by consumers, but desirable if their available income is sufficient to purchase them. Examples of consumer discretionary products can include durable goods, high-end apparel, entertainment, leisure activities, and automobiles.",investopedia,1,24.27,15.2,0.0,20.07,20.6,12.41,18,16.25,18.83,20th and 21st grade,70.9,69.43,25.19,4.8,36.4418604651163,9.7
OBJECTIVE RISK,"A measure of the deviation between an INSURER’s actuallosses and its EXPECTED LOSSES (as predicted through ACTUARIAL PRICINGtechniques). The greater the objective risk, the larger the losses and the lessaccurate the pricing methodologies.",palgrave,0,29.35,13.3,0.0,17.75,16.2,11.63,13,13.25,18.72,12th and 13th grade,76.0,69.51,30.34,4.9,44.7575757575758,23.57
Patents,"In 1899 the commissioner of the American Office of Patents recommended that his office be abolished because “everything that can be invented has been invented”. The fact that there has been so much INNOVATION during the subsequent 100 years may owe something to the existence of patents. Economists reckon that if people are going to spend the time and MONEY needed to think up and develop new products, they need to be fairly confident that if the idea works they will earn a decent PROFIT. Patents help achieve this by granting the inventor a temporary MONOPOLY over the idea, to stop it being stolen by imitators who have not borne any of the development RISK and costs. Like any monopoly, patents create inefficiency because of the lack of COMPETITION to produce and sell the product. So economists debate how long patent protection should last.  There is also debate about which sorts of innovation require the encouragement of a potential monopoly to make them happen. Furthermore, the pace of innovation in some industries has sharply reduced the number of years during which a patent is valuable. Some economists say that this shows that patents do not play a large part in the process of innovation.",economist,1,54.05,12.1,14.4,11.2,14.5,8.85,35,16.25,14.32,14th and 15th grade,90.8,86.97,39.15,3.2,51.5490196078431,49.5
MASTER FUND,A FUND that invests CAPITAL gathered from INVESTORS through one or more FEEDER FUNDS. The master fund structure is widely employed in the HEDGE FUND sector.,palgrave,0,75.2,6.0,0.0,10.6,8.8,10.96,8,6.0,5.2,5th and 6th grade,109.6,105.18,42.52,2.0,61.6923076923077,59.25
Non-GAAP Earnings,"Non-GAAP earnings are an alternative accounting method used to measure the earnings of a company. Many companies report non-GAAP earnings in addition to their earnings based on Generally Accepted Accounting Principles (GAAP). These pro forma figures, which exclude ""one-time"" transactions, can sometimes provide a more accurate measure of a company’s financial performance from direct business operations.",investopedia,1,27.11,14.1,15.9,17.75,17.3,11.05,18,14.3333333333333,16.77,17th and 18th grade,73.8,70.24,30.12,4.8,42.5714285714286,19.92
AGENCY CAPTIVE,"A CAPTIVE, owned by one or more INSURANCE AGENTS, which is used to write INSURANCE cover for a large number of third party clients. See also GROUP CAPTIVE, PROTECTED CELL COMPANY, PURE CAPTIVE, RENT-A-CAPTIVE, SISTER CAPTIVE.",palgrave,0,61.67,9.1,0.0,11.42,12.4,7.16,3,11.5,9.42,11th and 12th grade,98.5,93.65,40.4,2.9,52.8888888888889,52.88
Texas Ratio,The Texas ratio was developed to warn of credit problems at particular banks or banks in particular regions. The Texas ratio takes the amount of a bank's non-performing assets and divides this number by the sum of the bank's tangible common equity and its loan loss reserves. A ratio of more than 100 (or 1:1) indicates that non-performing assets are greater than the resources the bank may need to cover potential losses on those assets.,investopedia,1,54.56,11.9,13.0,10.39,13.9,10.14,17,15.5,13.73,13th and 14th grade,91.4,87.97,40.67,3.2,52.4666666666667,52.25
Conventional Mortgage,"A conventional mortgage or conventional loan is any type of home buyer’s loan that is not offered or secured by a government entity. Instead, conventional mortgages are available through private lenders, such as banks, credit unions, and mortgage companies. However, some conventional mortgages can be guaranteed by two government-sponsored enterprises; the Federal National Mortgage Association (Fannie Mae) and the Federal Home Loan Mortgage Corporation (Freddie Mac).﻿﻿",investopedia,1,32.22,14.2,16.3,17.23,18.6,10.95,20,16.3333333333333,14.25,16th and 17th grade,76.4,69.67,29.74,4.7,40.969696969697,20.55
STYLE DRIFT,"A phenomenon when a HEDGE FUND or INVESTMENT COMPANY deviates from its original INVESTMENT focus and expertise in an attempt to find new opportunities to deploy CAPITAL. Style drift can intro- duce additional RISK into a fund, as managers may lack the requisite base of knowledge needed to effectively manage the ASSETS.",palgrave,0,28.17,15.8,0.0,12.6,15.9,12.21,18,19.0,17.32,15th and 16th grade,72.3,71.81,36.67,4.4,48.8076923076923,42.8
Dividend Growth Rate,The dividend growth rate is the annualized percentage rate of growth that a particular stock's dividend undergoes over a period of time. Many mature companies seek to increase the dividends paid to their investors on a regular basis. Knowing the dividend growth rate is a key input for stock valuation models known as dividend discount models.,investopedia,1,44.03,11.8,15.0,12.13,12.1,10.2,18,13.6666666666667,14.62,11th and 12th grade,85.8,83.59,39.47,3.7,53.6428571428571,49.28
REALIZED LOSS,"Losses on an ASSET (resulting from a negative change in valuation) that have been crystallized for ACCOUNTING purposes on the INCOME STATEMENT. A loss is realized through disposal of the asset. See alsoREALIZED GAIN, UNREALIZED LOSS.",palgrave,0,42.38,10.3,13.6,12.75,10.5,9.93,13,8.33333333333333,15.91,10th and 11th grade,86.6,82.35,39.27,3.7,59.0,49.57
RATCHET OPTION,See CLIQUET OPTION.,palgrave,0,59.97,5.6,0.0,5.35,6.8,14.31,2,0.5,1.2,5th and 6th grade,101.8,100.0,42.42,-2.2,132.333333333333,68.78
Obligor,"An obligor, also known as a debtor, is a person or entity who is legally or contractually obliged to provide a benefit or payment to another. In a financial context, the term ""obligor"" refers to a bond issuer who is contractually bound to make all principal repayments and interest payments on outstanding debt. The recipient of the benefit or payment is known as the obligee.",investopedia,1,49.45,11.8,14.6,9.86,12.0,10.06,15,14.8333333333333,14.22,14th and 15th grade,88.7,84.53,42.25,3.6,54.8461538461538,56.03
Stochastic Oscillator,"A stochastic oscillator is a momentum indicator comparing a particular closing price of a security to a range of its prices over a certain period of time. The sensitivity of the oscillator to market movements is reducible by adjusting that time period or by taking a moving average of the result. It is used to generate overbought and oversold trading signals, utilizing a 0–100 bounded range of values.",investopedia,1,31.51,14.5,16.3,11.32,13.2,11.03,23,16.6666666666667,17.32,16th and 17th grade,75.7,74.23,39.91,4.3,52.8235294117647,49.77
SINGLE LIFE ANNUITY,"An ANNUITY that is paid only to the BENEFICIARY during his/her lifetime, with no subsequent transfer to a survivor.",palgrave,0,43.73,11.9,0.0,11.43,12.1,9.57,6,12.5,13.92,11th and 12th grade,85.5,79.63,40.56,4.0,53.7368421052632,52.96
Phishing,"When someone attempts to get your personal information by pretending to work for a legitimate or legitimate-sounding organization, such as a bank or the government.",6_8_louis,1,20.72,16.6,0.0,14.8,17.4,9.3,7,19.5,18.0,16th and 17th grade,67.4,62.22,33.29,5.2,45.0,35.17
Return on Risk-Adjusted Capital (RORAC),"The return on risk-adjusted capital (RORAC) is a rate of return measure commonly used in financial analysis, where various projects, endeavors, and investments are evaluated based on capital at risk. Projects with different risk profiles are easier to compare with each other once their individual RORAC values have been calculated.",investopedia,1,29.18,15.4,0.0,14.92,17.7,10.25,14,19.5,18.8,14th and 15th grade,73.4,68.45,33.1,4.7,44.4,31.3
Floor Rate,The rate in an interest rate floor agreement.,opod,0,80.28,4.1,0.0,7.21,4.9,7.98,2,4.0,8.2,7th and 8th grade,114.7,113.17,47.54,0.8,79.0,80.83
Personal Finance,"Personal finance is a term that covers managing your money as well as saving and investing. It encompasses budgeting, banking, insurance, mortgages, investments, retirement planning, and tax and estate planning. The term often refers to the entire industry that provides financial services to individuals and households and advises them about financial and investment opportunities.",investopedia,1,27.83,13.9,15.9,16.82,16.3,12.13,25,14.0,17.57,13th and 14th grade,74.5,70.0,31.42,4.8,44.7407407407408,27.58
BANKING DIRECTIVE,"In the EUROPEAN UNION, a series of require- ments to which BANKS must adhere, including those related to CAPITAL ADEQUACY and solvency, MONEY LAUNDERING, CONCENTRATION RISKS, and cross-border licensing and marketing/distribution of INVESTMENTS. See also BASLE ACCORD, BASLE II, MARKETS IN FINANCIAL INSTRUMENTS DIRECTIVE.",palgrave,0,15.31,16.6,0.0,17.81,19.3,14.06,20,18.5,21.53,18th and 19th grade,64.4,63.07,28.86,5.2,39.4545454545455,20.73
